station_key,station_id,station_name,total_start_count,total_end_count
461ae0adb43524f14728bd9688c268db,460,"Burdett Road, Mile End",75453,75489
1c6b5f2d10d253e03ceb61c29c4a3a28,200123,"Burdett Road, Mile End",2798,2856
132a543d11097ec51958f2a59a6b4f98,846,"Burgess Park Albany Road, Walworth",831,850
e7dc6322a3b064ac7c26cb7860f9db75,300063,"Burgess Park Albany Road, Walworth",2798,2824
e39dfaab12e9b92114949d95e37dd5ae,562,"Bury Place, Holborn",85981,89037
3acc104c7b249dfd31f01b42edc88fb2,200074,"Bury Place, Holborn",2544,2664
ab98bd5bfc24a15383a664efea039603,359,"Butler Place, Westminster",71714,82088
72eee3d1937d34509072171d7fa7f2cc,2662,"Butler Place, Westminster",2636,2918
6a4e84f5cfc36f673b9b1ae2bb4b1a84,1223,"Buxton Street 1, Shoreditch",1206,1161
a0873c47108652ddf0534758cf732d8a,390,"Buxton Street 1, Shoreditch",53059,47347
663b06a351ef4acc839d102a7dcc30ec,692,"Cadogan Close, Victoria Park",124272,124386
5d17ab11b2ca6adb6d78d26d0a50f16a,200112,"Cadogan Close, Victoria Park",2471,2448
c6ce4c552eb03e789530a8bf432fe136,395,"Cadogan Gardens, Chelsea",123730,130011
6365cf63c8aa7f682c3c667930d9131e,2695,"Cadogan Gardens, Chelsea",3256,3404
153f1c17238eaba82ca15f86afa54e00,395,"Cadogan Gardens, Sloane Square",123730,130011
7a5e58f998e8334113fe0b480047d4ef,211,"Cadogan Place, Knightsbridge",80130,91265
9a0df5da9f6a8c6430e01038b2fc23e2,3469,"Cadogan Place, Knightsbridge",2484,3008
24d1ec373bd48739557e33e917b7b7ec,200137,"Caldwell Street, Stockwell",2924,2749
2f53106b4b09d0431c1181365c525a78,603,"Caldwell Street, Stockwell",96515,98786
6db2b14919575457c64e3918c52d5830,1066,"Calshot Street , King's Cross",1495,1275
4a20363abc30ae5b09faa379a59080f9,70,"Calshot Street , King's Cross",44469,37620
e8d71683bcb63eeb955cecc9603ed213,212,"Campden Hill Road, Notting Hill",41772,33092
5095544a57d521ec1146184539aa49d2,3487,"Campden Hill Road, Notting Hill",1306,973
62882b07137411f4502bc4499732d01c,844,Canada Water Station,26662,28582
